symbol,clojure_core,basilisp_core,status
demunge,false,true,basilisp-extension
denominator,true,true,shared
deref,true,true,shared
derive,true,true,shared
descendants,true,true,shared
destructure,true,true,shared
disj,true,true,shared
disj!,true,true,shared
dissoc,true,true,shared
dissoc!,true,true,shared
distinct,true,true,shared
distinct?,true,true,shared
doall,true,true,shared
dorun,true,true,shared
doseq,true,true,shared
dosync,true,true,shared
dotimes,true,true,shared
doto,true,true,shared
double,true,true,shared
double-array,true,true,shared
double?,true,true,shared
doubles,true,true,shared
drop,true,true,shared
drop-last,true,true,shared
drop-while,true,true,shared
eduction,true,true,shared
empty,true,true,shared
empty?,true,true,shared
ensure,true,true,shared
ensure-reduced,true,true,shared
enumeration-seq,true,true,shared
error-handler,true,true,shared
error-mode,true,true,shared
eval,true,true,shared
even?,true,true,shared
every-pred,true,true,shared
every?,true,true,shared
evolve,false,true,basilisp-extension
ex-cause,true,true,shared
ex-data,true,true,shared
ex-info,true,true,shared
ex-message,true,true,shared
extend,true,true,shared
extend-protocol,true,true,shared
extend-type,true,true,shared
extenders,true,true,shared
extends?,true,true,shared
false?,true,true,shared
ffirst,true,true,shared
file-seq,true,true,shared
filter,true,true,shared
filterv,true,true,shared
find,true,true,shared
find-keyword,true,true,shared
find-ns,true,true,shared
find-protocol-impl,true,true,shared
find-protocol-method,true,true,shared
find-var,true,true,shared
first,true,true,shared
flatten,true,true,shared
float,true,true,shared
float-array,true,true,shared
float?,true,true,shared
floats,true,true,shared
flush,true,true,shared
fn,true,true,shared
fn?,true,true,shared
fnext,true,true,shared
fnil,true,true,shared
for,true,true,shared
for-async,false,true,basilisp-extension
force,true,true,shared
format,true,true,shared
frequencies,true,true,shared
future,true,true,shared
future-call,true,true,shared
future-cancel,true,true,shared
future-cancelled?,true,true,shared
future-done?,true,true,shared
future?,true,true,shared
gen-class,true,false,missing-in-basilisp
gen-interface,true,true,shared
gensym,true,true,shared
get,true,true,shared
get-in,true,true,shared
get-method,true,true,shared
get-proxy-class,true,true,shared
get-thread-bindings,true,true,shared
get-validator,true,true,shared
group-by,true,true,shared
halt-when,true,true,shared
hash,true,true,shared
hash-combine,true,true,shared
hash-map,true,true,shared
hash-ordered-coll,true,true,shared
hash-set,true,true,shared
hash-unordered-coll,true,true,shared
ident?,true,true,shared
identical?,true,true,shared
identity,true,true,shared
if-let,true,true,shared
if-not,true,true,shared
if-some,true,true,shared
ifn?,true,true,shared
import,true,true,shared
importing-resolve,false,true,basilisp-extension
in-ns,true,true,shared
inc,true,true,shared
inc',true,true,shared
indexed?,true,true,shared
infinite?,true,true,shared
init-proxy,true,true,shared
inst-ms,true,true,shared
inst-ms*,true,true,shared
inst?,true,true,shared
instance?,true,true,shared
int,true,true,shared
int-array,true,true,shared
int?,true,true,shared
integer?,true,true,shared
interleave,true,true,shared
intern,true,true,shared
interpose,true,true,shared
into,true,true,shared
into-array,true,true,shared
ints,true,true,shared
io!,true,true,shared
isa?,true,true,shared
iterate,true,true,shared
iteration,true,true,shared
iterator-seq,true,true,shared
juxt,true,true,shared
keep,true,true,shared
keep-indexed,true,true,shared
key,true,true,shared
keys,true,true,shared
keyword,true,true,shared
keyword?,true,true,shared
last,true,true,shared
lazy-cat,true,true,shared
lazy-seq,true,true,shared
let,true,true,shared
letfn,true,true,shared
line-seq,true,true,shared
lisp->py,false,true,basilisp-extension
list,true,true,shared
list*,true,true,shared
list?,true,true,shared
load,true,true,shared
load-file,true,true,shared
load-reader,true,true,shared
load-string,true,true,shared
loaded-libs,true,true,shared
local-decimal-context,false,true,basilisp-extension
locking,true,true,shared
long,true,true,shared
long-array,true,true,shared
longs,true,true,shared
loop,true,true,shared
macroexpand,true,true,shared
macroexpand-1,true,true,shared
make-array,true,true,shared
make-hierarchy,true,true,shared
map,true,true,shared
map-entry,false,true,basilisp-extension
map-entry?,true,true,shared
map-indexed,true,true,shared
map?,true,true,shared
mapcat,true,true,shared
mapv,true,true,shared
max,true,true,shared
max-key,true,true,shared
memfn,true,true,shared
memoize,true,true,shared
merge,true,true,shared
merge-with,true,true,shared
meta,true,true,shared
method-sig,true,false,missing-in-basilisp
methods,true,true,shared
min,true,true,shared
min-key,true,true,shared
mix-collection-hash,true,true,shared
mod,true,true,shared
munge,true,true,shared
name,true,true,shared
namespace,true,true,shared
namespace-munge,true,true,shared
nat-int?,true,true,shared
neg-int?,true,true,shared
neg?,true,true,shared
new,false,true,basilisp-extension
newline,true,true,shared
next,true,true,shared
nfirst,true,true,shared
nil?,true,true,shared
nnext,true,true,shared
non-neg?,false,true,basilisp-extension
not,true,true,shared
not-any?,true,true,shared
not-empty,true,true,shared
not-every?,true,true,shared
not=,true,true,shared
ns,true,true,shared
ns-aliases,true,true,shared
ns-import-refers,false,true,basilisp-extension
ns-imports,true,true,shared
ns-interns,true,true,shared
ns-map,true,true,shared
ns-name,true,true,shared
ns-publics,true,true,shared
ns-refers,true,true,shared
ns-resolve,true,true,shared
ns-unalias,true,true,shared
ns-unmap,true,true,shared
nth,true,true,shared
nthnext,true,true,shared
nthrest,true,true,shared
num,true,true,shared
number?,true,true,shared
numerator,true,true,shared
object-array,true,true,shared
odd?,true,true,shared
or,true,true,shared
parents,true,true,shared
parse-boolean,true,true,shared
parse-double,true,true,shared
parse-long,true,true,shared
parse-uuid,true,true,shared
partial,true,true,shared
partial-kw,false,true,basilisp-extension
partition,true,true,shared
partition-all,true,true,shared
partition-by,true,true,shared
partitionv,true,true,shared
partitionv-all,true,true,shared
pcalls,true,true,shared
peek,true,true,shared
perf-counter,false,true,basilisp-extension
persistent!,true,true,shared
pmap,true,true,shared
pop,true,true,shared
pop!,true,true,shared
pop-thread-bindings,true,true,shared
pos-int?,true,true,shared
pos?,true,true,shared
pr,true,true,shared
pr-str,true,true,shared
prefer-method,true,true,shared
prefers,true,true,shared
primitives-classnames,true,false,missing-in-basilisp
print,true,true,shared
print-ctor,true,true,shared
print-dup,true,true,shared
print-method,true,true,shared
print-simple,true,true,shared
print-str,true,true,shared
printf,true,true,shared
println,true,true,shared
println-str,true,true,shared
prn,true,true,shared
prn-str,true,true,shared
promise,true,true,shared
promise?,false,true,basilisp-extension
protocol?,false,true,basilisp-extension
proxy,true,true,shared
proxy-call-with-super,true,false,missing-in-basilisp
proxy-mappings,true,true,shared
proxy-name,true,false,missing-in-basilisp
proxy-super,true,true,shared
push-thread-bindings,true,true,shared
pvalues,true,true,shared
py->lisp,false,true,basilisp-extension
py-dict?,false,true,basilisp-extension
py-frozenset?,false,true,basilisp-extension
py-list?,false,true,basilisp-extension
py-set?,false,true,basilisp-extension
py-tuple?,false,true,basilisp-extension
qualified-ident?,true,true,shared
qualified-keyword?,true,true,shared
qualified-symbol?,true,true,shared
queue,false,true,basilisp-extension
queue?,false,true,basilisp-extension
quot,true,true,shared
rand,true,true,shared
rand-int,true,true,shared
rand-nth,true,true,shared
random-sample,true,true,shared
random-uuid,true,true,shared
range,true,true,shared
ratio?,true,true,shared
rational?,true,true,shared
rationalize,true,true,shared
re-find,true,true,shared
re-groups,true,true,shared
re-matcher,true,true,shared
re-matches,true,true,shared
re-pattern,true,true,shared
re-seq,true,true,shared
read,true,true,shared
read+string,true,true,shared
read-line,true,true,shared
read-seq,false,true,basilisp-extension
read-string,true,true,shared
reader-conditional,true,true,shared
reader-conditional?,true,true,shared
real-number?,false,true,basilisp-extension
realized?,true,true,shared
record?,true,true,shared
reduce,true,true,shared
reduce-kv,true,true,shared
reduced,true,true,shared
reduced?,true,true,shared
reductions,true,true,shared
ref,true,true,shared
ref-history-count,true,true,shared
ref-max-history,true,true,shared
ref-min-history,true,true,shared
ref-set,true,true,shared
refer,true,true,shared
refer-basilisp,false,true,basilisp-extension
refer-clojure,true,true,shared
reify,true,true,shared
release-pending-sends,true,true,shared
rem,true,true,shared
remove,true,true,shared
remove-all-methods,true,true,shared
remove-method,true,true,shared
remove-ns,true,true,shared
remove-tap,true,true,shared
remove-watch,true,true,shared
repeat,true,true,shared
repeatedly,true,true,shared
replace,true,true,shared
replicate,true,true,shared
repr,false,true,basilisp-extension
require,true,true,shared
requiring-resolve,true,true,shared
reset!,true,true,shared
reset-meta!,true,true,shared
reset-vals!,true,true,shared
resolve,true,true,shared
rest,true,true,shared
restart-agent,true,true,shared
resultset-seq,true,false,missing-in-basilisp
reverse,true,true,shared
reversible?,true,true,shared
rseq,true,true,shared
rsubseq,true,true,shared
run!,true,true,shared
run-transaction,false,true,basilisp-extension
satisfies?,true,true,shared
second,true,true,shared
select-keys,true,true,shared
